source	target
The track was in excellent condition , running through the trees .	subject <is> The track <and> relation <is> was in <and> object <is> excellent condition <then> subject <is> The track <and> relation <is> was running through <and> object <is> the trees
In some slow-moving radially symmetrical marine animals such as ctenophores and cnidarians -LRB- including sea anemones and jellyfish -RRB- , the nerves form a nerve net , but in most animals they are organized longitudinally into bundles .	subject <is> nerves <and> relation <is> form <and> object <is> a nerve net in some slow-moving radially symmetrical marine animals <then> subject <is> nerves <and> relation <is> are organized longitudinally into <and> object <is> bundles in most animals <then> subject <is> ctenophores <and> relation <is> are a type of <and> object <is> slow-moving radially symmetrical marine animals <then> subject <is> cnidarians <and> relation <is> are a type of <and> object <is> slow-moving radially symmetrical marine animals <then> subject <is> sea anemones <and> relation <is> are a type of <and> object <is> cnidarians <then> subject <is> jellyfish <and> relation <is> are a type of <and> object <is> cnidarians <then> subject <is> nerves <and> relation <is> form <and> object <is> a nerve net in ctenophores <then> subject <is> nerves <and> relation <is> form <and> object <is> a nerve net in cnidarians
Two tries in the final moments were not enough to see Maroochydore through to the Grand Final .	subject <is> Two tries <and> relation <is> were not enough to see <and> object <is> Maroochydore through to the Grand Final <then> subject <is> Two tries in the final moments <and> relation <is> were not enough to see <and> object <is> Maroochydore through to the Grand Final <then> subject <is> Two tries in the final moments <and> relation <is> were <and> object <is> not enough to see Maroochydore through to the Grand Final <then> subject <is> Two tries <and> relation <is> were not enough to see Maroochydore through to <and> object <is> the Grand Final
The newly discovered prime is expressed as 257,885,161 − 1 and has 17,425,170 digits .	subject <is> The newly discovered prime <and> relation <is> is expressed as <and> object <is> 257,885,161 − 1 <then> subject <is> The newly discovered prime <and> relation <is> has <and> object <is> 17,425,170 digits <then> subject <is> 257,885,161 − 1 <and> relation <is> is expressed as <and> object <is> the newly discovered prime <then> subject <is> 17,425,170 digits <and> relation <is> is had by <and> object <is> the newly discovered prime
The All India states people 's conference was formed in 1927 .	subject <is> The All India states people's conference <and> relation <is> was formed in <and> object <is> 1927
Mario : Steve Jobs , as was previously stated .	subject <is> Mario <and> relation <is> : <and> object <is> Steve Jobs <then> subject <is> Steve Jobs <and> relation <is> was <and> object <is> previously stated
Internal pattern generation operates on a wide range of time scales , from milliseconds to hours or longer .	subject <is> Internal pattern generation <and> relation <is> operates on <and> object <is> a wide range of time scales <then> subject <is> Internal pattern generation <and> relation <is> operates on a wide range of time scales from <and> object <is> milliseconds <then> subject <is> Internal pattern generation <and> relation <is> operates on a wide range of time scales from <and> object <is> hours <then> subject <is> Internal pattern generation <and> relation <is> operates on a wide range of time scales from <and> object <is> longer
In the final game of pool play , she scored 20 points , leading her team in scoring in their 82 -- 49 loss to Germany .	subject <is> She <and> relation <is> scored <and> object <is> 20 points <then> subject <is> She <and> relation <is> led <and> object <is> her team in scoring <then> subject <is> Her team <and> relation <is> lost to <and> object <is> Germany <then> subject <is> Her team <and> relation <is> lost <and> object <is> 82 -- 49 <then> subject <is> She <and> relation <is> scored 20 points in <and> object <is> the final game of pool play <then> subject <is> Her team in scoring <and> relation <is> was <and> object <is> their 82 -- 49 loss to Germany <then> subject <is> In the final game of pool play <and> relation <is> scored <and> object <is> 20 points
Since a ship of this size would leak a considerable amount of water through the hull , the Archimedes ' screw was purportedly developed in order to remove the bilge water .	subject <is> A ship of this size <and> relation <is> would leak <and> object <is> a considerable amount of water through the hull <then> subject <is> The Archimedes' screw <and> relation <is> was purportedly developed in order to remove <and> object <is> the bilge water <then> subject <is> The Archimedes' screw <and> relation <is> was purportedly developed in order to remove <and> object <is> the bilge water because <then> subject <is> The Archimedes' screw <and> relation <is> was developed <and> object <is> in order to remove the bilge water <then> subject <is> A ship of this size <and> relation <is> would leak <and> object <is> a considerable amount of water through the hull
It , along with nihonium -LRB- element 113 -RRB- , moscovium -LRB- element 115 -RRB- , and oganesson -LRB- element 118 -RRB- , are the four most recently named elements , whose names all became official on 28 November 2016 .	subject <is> It <and> relation <is> are <and> object <is> the four most recently named elements <then> subject <is> nihonium <and> relation <is> is <and> object <is> element 113 <then> subject <is> moscovium <and> relation <is> is <and> object <is> element 115 <then> subject <is> oganesson <and> relation <is> is <and> object <is> element 118 <then> subject <is> names <and> relation <is> became official on <and> object <is> 28 November 2016 <then> subject <is> the four most recently named elements <and> relation <is> are <and> object <is> It , nihonium , moscovium , and oganesson <then> subject <is> It , along with nihonium , moscovium , and oganesson <and> relation <is> are <and> object <is> the four most recently named elements
In its most recent monthly report , OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day .	subject <is> OPEC <and> relation <is> said <and> object <is> exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day <then> subject <is> Exports of crude <and> relation <is> had fallen to <and> object <is> their lowest level for two decades <then> subject <is> Exports of crude <and> relation <is> had fallen to their lowest level for <and> object <is> two decades <then> subject <is> Exports of crude <and> relation <is> had fallen to <and> object <is> 2.8 million barrels per day <then> subject <is> OPEC <and> relation <is> said exports of crude had fallen to <and> object <is> 2.8 million barrels per day <then> subject <is> OPEC <and> relation <is> said exports of crude had fallen to their lowest level <and> object <is> for two decades <then> subject <is> OPEC <and> relation <is> said exports of crude had fallen <and> object <is> to their lowest level for two decades at 2.8 million barrels per day
As part of the Augustan programme to restore traditional morality and social order , moral legislation attempted to regulate the conduct of men and women as a means of promoting `` family values '' .	"subject <is> moral legislation <and> relation <is> attempted to regulate <and> object <is> the conduct of men and women <then> subject <is> moral legislation <and> relation <is> attempted to regulate the conduct of men and women as a means of promoting <and> object <is> ""family values"" <then> subject <is> the Augustan programme <and> relation <is> to restore <and> object <is> traditional morality and social order <then> subject <is> moral legislation <and> relation <is> attempted to regulate the conduct of men and women as <and> object <is> a means of promoting ""family values"" <then> subject <is> moral legislation <and> relation <is> attempted to regulate the conduct of men and women as <and> object <is> a means of promoting family values "
The Cretaceous -- Paleogene extinction event , which occurred approximately 66 million years ago at the end of the Cretaceous period , caused the extinction of all dinosaur groups except for the neornithine birds .	subject <is> The Cretaceous -- Paleogene extinction event <and> relation <is> occurred approximately <and> object <is> 66 million years ago <then> subject <is> The Cretaceous -- Paleogene extinction event <and> relation <is> occurred at the end of <and> object <is> the Cretaceous period <then> subject <is> The Cretaceous -- Paleogene extinction event <and> relation <is> caused the extinction of <and> object <is> all dinosaur groups <then> subject <is> The Cretaceous -- Paleogene extinction event <and> relation <is> caused the extinction of <and> object <is> all dinosaur groups except for <then> subject <is> The Cretaceous -- Paleogene extinction event <and> relation <is> caused <and> object <is> the extinction of all dinosaur groups <then> subject <is> all dinosaur groups <and> relation <is> except for <and> object <is> the neornithine birds
A 3,300-year-old stone carving of a Hittite bard playing a stringed instrument is the oldest iconographic representation of a chordophone and clay plaques from Babylonia show people playing an instrument that has a strong resemblance to the guitar , indicating a possible Babylonian origin for the guitar .	subject <is> A 3,300-year-old stone carving <and> relation <is> is <and> object <is> the oldest iconographic representation of a chordophone <then> subject <is> clay plaques from Babylonia <and> relation <is> show <and> object <is> people playing an instrument that has a strong resemblance to the guitar <then> subject <is> clay plaques from Babylonia <and> relation <is> show people playing <and> object <is> an instrument <then> subject <is> clay plaques from Babylonia <and> relation <is> indicate <and> object <is> a possible Babylonian origin for the guitar <then> subject <is> A 3,300-year-old stone carving of a Hittite bard playing a stringed instrument <and> relation <is> is <and> object <is> the oldest iconographic representation of a chordophone <then> subject <is> A 3,300-year-old stone carving <and> relation <is> is the oldest iconographic representation of <and> object <is> chordophone <then> subject <is> the guitar <and> relation <is> has <and> object <is> a strong resemblance to an instrument <then> subject <is> the guitar <and> relation <is> indicates <and> object <is> a possible Babylonian origin for <then> subject <is> a Hittite bard <and> relation <is> was playing <and> object <is> a stringed instrument
Pulsed light works with Xenon flash lamps that can produce flashes several times per second .	subject <is> Pulsed light <and> relation <is> works with <and> object <is> Xenon flash lamps <then> subject <is> Xenon flash lamps <and> relation <is> can produce <and> object <is> flashes <then> subject <is> Xenon flash lamps <and> relation <is> can produce flashes several times <and> object <is> per second <then> subject <is> Pulsed light <and> relation <is> works with Xenon flash lamps that can produce <and> object <is> flashes several times per second
Two of Chopin 's long-standing pupils , Karol Mikuli -LRB- 1821 -- 1897 -RRB- and Georges Mathias , were themselves piano teachers and passed on details of his playing to their own students , some of whom -LRB- such as Raoul Koczalski -RRB- were to make recordings of his music .	subject <is> Karol Mikuli <and> relation <is> was <and> object <is> a long-standing pupil of Chopin <then> subject <is> Georges Mathias <and> relation <is> was <and> object <is> a long-standing pupil of Chopin <then> subject <is> Karol Mikuli <and> relation <is> was <and> object <is> a piano teacher <then> subject <is> Georges Mathias <and> relation <is> was <and> object <is> a piano teacher <then> subject <is> Karol Mikuli <and> relation <is> passed on details of <and> object <is> his playing to their own students <then> subject <is> Georges Mathias <and> relation <is> passed on details of <and> object <is> his playing to their own students <then> subject <is> some of their own students <and> relation <is> were <and> object <is> to make recordings of his music <then> subject <is> Raoul Koczalski <and> relation <is> was <and> object <is> a student of Karol Mikuli or Georges Mathias <then> subject <is> Raoul Koczalski <and> relation <is> made <and> object <is> recordings of his music <then> subject <is> the details <and> relation <is> of <and> object <is> his playing <then> subject <is> the details <and> relation <is> were passed on to <and> object <is> their own students <then> subject <is> the details <and> relation <is> were passed on by <and> object <is> Karol Mikuli and Georges Mathias
Texas yesterday executed murder convict Arturo Diaz hours after the US Supreme Court turned down a final appeal .	subject <is> Texas <and> relation <is> executed <and> object <is> murder convict Arturo Diaz <then> subject <is> Texas <and> relation <is> executed murder convict Arturo Diaz <and> object <is> yesterday <then> subject <is> US Supreme Court <and> relation <is> turned down <and> object <is> a final appeal <then> subject <is> US Supreme Court <and> relation <is> turned down a final appeal <and> object <is> after the execution of murder convict Arturo Diaz <then> subject <is> Texas <and> relation <is> executed murder convict Arturo Diaz after <and> object <is> US Supreme Court turning down a final appeal
We 've been working very closely with her horse since to try to alleviate any stress it might be under . ''	subject <is> We <and> relation <is> have been working very closely with <and> object <is> her horse <then> subject <is> We <and> relation <is> have been working very closely with her horse since to try to alleviate <and> object <is> any stress it might be under <then> subject <is> her horse <and> relation <is> might be under <and> object <is> any stress <then> subject <is> We <and> relation <is> try to alleviate <and> object <is> any stress it might be under <then> subject <is> We <and> relation <is> have been working very closely with her horse since to try to alleviate any stress <and> object <is> it might be under
